Energy	I0	Sample	Reference
7039.96	1.22183E6	703750	51888
7043.09	1.21877E6	703817	52078
7045.93	1.21696E6	704238	52281
7048.87	1.21468E6	704033	52461
7052.06	1.21244E6	703735	52663
7055.01	1.21022E6	703409	52796
7058.05	1.20805E6	703094	52986
7060.91	1.20608E6	703281	53200
7064.06	1.204E6	703545	53251
7067.01	1.20233E6	704292	53472
7069.97	1.20025E6	705110	53842
7072.98	1.19816E6	706115	54006
7076.05	1.19595E6	707018	54296
7078.97	1.19384E6	707672	54497
7082.03	1.19165E6	708125	54740
7084.96	1.18873E6	708414	54897
7087.88	1.1856E6	708440	55200
7091.2	1.18334E6	708601	55464
7093.94	1.18155E6	709097	55518
7097.02	1.17912E6	709643	55766
7099.96	1.17693E6	710215	55974
7103.1	1.17476E6	711096	56425
7106.09	1.17276E6	711819	56506
7109.03	1.17204E6	713064	56871
7111.93	1.17031E6	713798	57114
7115.03	1.16801E6	714231	57245
7117.93	1.16554E6	714291	57361
7121.08	1.16343E6	714665	57552
7123.99	1.16138E6	715292	57702
7126.9	1.15887E6	715269	57801
7130.01	1.15445E6	714178	57724
7133.03	1.15168E6	713999	57911
7136	1.14888E6	713883	58028
7138.92	1.14679E6	714308	58201
7142.04	1.1452E6	715050	58528
7145.12	1.14293E6	715059	58723
7147.9	1.14142E6	715490	58804
7151.03	1.13979E6	715874	59141
7154.01	1.13799E6	716204	59262
7156.95	1.13635E6	716642	59468
7160.04	1.13433E6	716905	59833
7163.03	1.1325E6	717492	59964
7165.97	1.13036E6	717886	60258
7168.97	1.12835E6	718383	60417
7171.92	1.12568E6	718473	60599
7175.07	1.12305E6	718810	60897
7177.98	1.12079E6	719017	61103
7180.98	1.11878E6	719318	61293
7183.99	1.11678E6	719793	61476
7186.96	1.11462E6	720098	61777
7190.07	1.11221E6	720247	62028
7192.89	1.1106E6	720932	62209
7196.06	1.10921E6	721641	62456
7198.93	1.09502E6	713679	62065
7201.96	1.10445E6	721932	62911
7205.09	1.10293E6	722569	63044
7207.97	1.10126E6	723133	63492
7211.05	1.09935E6	723705	63761
7213.89	1.09773E6	724175	63891
7217.08	1.09443E6	724043	64093
7219.97	1.09267E6	724347	64311
7223.06	1.09073E6	724792	64551
7226.01	1.08855E6	725108	64731
7229.01	1.08642E6	725462	64972
7232.01	1.08427E6	725636	65279
7235.16	1.08235E6	725955	65432
7237.86	1.08037E6	726336	65728
7241.13	1.07841E6	726586	65898
7244.04	1.07651E6	726916	66175
7246.95	1.07441E6	726992	66524
7250.02	1.07235E6	727100	66618
7252.93	1.07012E6	727240	66859
7256.11	1.06755E6	727018	66962
7258.98	1.06327E6	725241	67141
7262.11	1.06897E6	730524	67751
7265.04	1.06611E6	730010	67882
7267.92	1.06379E6	729883	68045
7271.05	1.06145E6	729986	68250
7274.04	1.05938E6	730036	68403
7277.03	1.05778E6	730429	68704
7279.97	1.05528E6	730170	68931
7282.91	1.05317E6	730381	69067
7285.96	1.05148E6	730884	69242
7289.06	1.04953E6	731206	69482
7292.11	1.04767E6	731447	69829
7294.91	1.04576E6	731770	69967
7298.02	1.04391E6	732089	70322
7300.98	1.04201E6	732287	70518
7303.99	1.04E6	732370	70691
7307	1.03815E6	732551	70920
7309.92	1.03573E6	732670	71037
7313.09	1.03385E6	732959	71420
7315.96	1.03205E6	733195	71655
7318.98	1.0301E6	733193	71921
7321.91	1.02845E6	733601	72222
7324.99	1.02655E6	733854	72357
7328.02	1.02457E6	734079	72500
7331.06	1.02276E6	734387	72668
7333.99	1.02126E6	734609	73025
7336.98	1.01941E6	734925	73290
7340.02	1.01744E6	735229	73546
